COUNTRY,GDP(BILLIONS),CODE,Name,WHORegion,Cases-cumulativetotal,Cases-cumulativetotalper100000population,Cases-newlyreportedinlast7days,Cases-newlyreportedinlast7daysper100000population,Cases-newlyreportedinlast24hours,Deaths-cumulativetotal,Deaths-cumulativetotalper100000population,Deaths-newlyreportedinlast7days,Deaths-newlyreportedinlast7daysper100000population,Deaths-newlyreportedinlast24hours
Cayman Islands,2.25,CYM,Cayman Islands,Americas,930,1415.09,95,144.55,10,2,3.04,0,0,0
Central African Republic,1.73,CAF,Central African Republic,Africa,11401,236.06,30,0.62,0,100,2.07,0,0,0
Chad,15.84,TCD,Chad,Africa,5053,30.76,13,0.08,0,174,1.06,0,0,0
Chile,264.1,CHL,Chile,Americas,1659386,8680.52,5122,26.79,942,37533,196.34,65,0.34,21
China,10360,CHN,China,Western Pacific,124954,8.49,281,0.02,34,5693,0.39,2,0,0
Colombia,400.1,COL,Colombia,Americas,4965847,9759.36,9999,19.65,1393,126487,248.58,226,0.44,32
Comoros,0.72,COM,Comoros,Africa,4159,478.27,12,1.38,1,147,16.9,0,0,0
"Congo,  Democratic Republic of the",32.67,COD,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Congo,  Republic of the",14.11,COG,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cook Islands,0.18,COK,Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Costa Rica,50.46,CRI,Costa Rica,Americas,541036,10620.8,10923,214.42,1614,6553,128.64,204,4,31
Cote d'Ivoire,33.96,CIV,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Croatia,57.18,HRV,Croatia,Europe,415356,10235.07,10566,260.36,1691,8752,215.66,112,2.76,22
Cuba,77.15,CUB,Cuba,Americas,907941,8016,30513,269.39,3833,7742,68.35,306,2.7,39
Curacao,5.6,CUW,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cyprus,21.34,CYP,Cyprus,Europe,120992,13625.15,720,81.08,131,557,62.72,5,0.56,0
Czech Republic,205.6,CZE,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Denmark,347.2,DNK,Denmark,Europe,362068,6218.15,3272,56.19,607,2668,45.82,12,0.21,3
Djibouti,1.58,DJI,Djibouti,Eastern Mediterranean,13116,1327.53,305,30.87,0,174,17.61,7,0.71,0
Dominica,0.51,DMA,Dominica,Americas,3893,5407.62,412,572.29,107,24,33.34,4,5.56,2
Dominican Republic,64.05,DOM,Dominican Republic,Americas,363735,3353.04,5280,48.67,886,4063,37.45,17,0.16,7
Ecuador,100.5,ECU,Ecuador,Americas,511317,2898.12,1704,9.66,0,32819,186.02,52,0.29,0
Egypt,284.9,EGY,Egypt,Eastern Mediterranean,309135,302.08,4611,4.51,0,17545,17.14,214,0.21,0
El Salvador,25.14,SLV,El Salvador,Americas,107664,1659.89,3316,51.12,329,3345,51.57,111,1.71,18
Equatorial Guinea,15.4,GNQ,Equatorial Guinea,Africa,12657,902.15,295,21.03,125,154,10.98,7,0.5,4
Eritrea,3.87,ERI,Eritrea,Africa,6734,189.88,12,0.34,5,42,1.18,0,0,0
Estonia,26.36,EST,Estonia,Europe,162735,12245.14,5749,432.59,954,1391,104.67,34,2.56,4
Ethiopia,49.86,ETH,Ethiopia,Africa,352504,306.62,6830,5.94,1166,5888,5.12,306,0.27,45
Falkland Islands (Islas Malvinas),0.16,FLK,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Faroe Islands,2.32,FRO,Faroe Islands,Europe,1259,2576.49,81,165.76,13,2,4.09,0,0,0
Fiji,4.17,FJI,Fiji,Western Pacific,51386,5732.2,363,40.49,58,649,72.4,25,2.79,2
Finland,276.3,FIN,Finland,Europe,145679,2636.58,3078,55.71,325,1093,19.78,2,0.04,1
France,2902,FRA,France,Europe,6825921,10495.06,26967,41.46,4506,114691,176.34,221,0.34,32
French Polynesia,7.15,PYF,French Polynesia,Western Pacific,45359,16147.28,178,63.37,0,626,222.85,5,1.78,1
Gabon,20.68,GAB,Gabon,Africa,31584,1419.04,1429,64.2,0,197,8.85,11,0.49,0
"Gambia, The",0.92,GMB,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Georgia,16.13,GEO,Georgia,Europe,628719,15760.63,13956,349.85,2661,9192,230.42,216,5.41,30
Germany,3820,DEU,Germany,Europe,4293807,5162.89,56188,67.56,10429,94113,113.16,402,0.48,86
Ghana,35.48,GHA,Ghana,Africa,128368,413.12,886,2.85,209,1158,3.73,2,0.01,1
Gibraltar,1.85,GIB,Gibraltar,Europe,5606,16639.46,57,169.18,9,97,287.91,0,0,0
Greece,246.4,GRC,Greece,Europe,671040,6260.54,15273,142.49,2229,15042,140.34,214,2,30
Greenland,2.16,GRL,Greenland,Europe,601,1058.62,25,44.04,1,0,0,0,0,0
Grenada,0.84,GRD,Grenada,Americas,5531,4915.44,391,347.48,47,167,148.41,28,24.88,2
Guam,4.6,GUM,Guam,Western Pacific,13598,8056.88,516,305.73,79,210,124.43,13,7.7,0
