,pop_F,pop_M,pop_MF,hholds,fullname,leaf_value1
2005,18310,17956,36266,15126,อภ.ลับแล,1
2006,15075,14738,29813,9732,อภ.ลาดบัวหลวง,1
2007,37476,36007,73483,27981,อภ.ลาดยาว,1
2008,30752,29321,60073,30194,อภ.ลาดหลุมแก้ว,1
2009,16409,16338,32747,11268,อภ.ลานกระบือ,1
2010,20149,19163,39312,14708,อภ.ลานสกา,1
2011,27831,27589,55420,19077,อภ.ลานสัก,1
2012,13403,13406,26809,7132,อภ.ลำดวน,1
2013,14098,13977,28075,7627,อภ.ลำทะเมนชัย,1
2014,10032,10284,20316,7383,อภ.ลำทับ,1
2015,57403,57163,114566,31324,อภ.ลำปลายมาศ,1
2016,44886,41994,86880,43663,อภ.ลำลูกกา,1
2017,13729,13541,27270,10482,อภ.ลำสนธิ,1
2018,30613,30911,61524,21445,อภ.ลี้,1
2019,17243,16920,34163,9802,อภ.ลืออำนาจ,1
2020,15683,15292,30975,11047,อภ.วชิรบารมี,1
2021,11256,11117,22373,11221,อภ.วังจันทร์,1
2022,21300,21167,42467,15388,อภ.วังชิ้น,1
2023,8815,8630,17445,5929,อภ.วังทรายพูน,1
2024,57835,56392,114227,44017,อภ.วังทอง,1
2025,28653,27109,55762,26599,อภ.วังน้อย,1
2026,21935,21733,43668,19500,อภ.วังน้ำเขียว,1
2027,20267,20353,40620,15145,อภ.วังน้ำเย็น,1
2028,5930,5661,11591,4642,อภ.วังม่วง,1
2029,7695,7821,15516,4766,อภ.วังยาง,1
2030,20380,20066,40446,14028,อภ.วังวิเศษ,1
2031,12593,12737,25330,10477,อภ.วังสมบูรณ์,1
2032,50453,49803,100256,34405,อภ.วังสะพุง,1
2033,15573,15802,31375,8832,อภ.วังสามหมอ,1
2034,19984,20264,40248,9587,อภ.วังหิน,1
2035,15022,15134,30156,9218,อภ.วังเจ้า,1
2036,18344,18437,36781,13357,อภ.วังเหนือ,1
2037,14321,14023,28344,9341,อภ.วังโป่ง,1
2038,38034,38514,76548,27003,อภ.วัฒนานคร,1
2039,11388,10662,22050,9218,อภ.วัดสิงห์,1
2040,5632,5119,10751,3702,อภ.วัดเพลง,1
2041,14919,14662,29581,11298,อภ.วัดโบสถ์,1
2042,60575,59990,120565,34814,อภ.วานรนิวาส,1
2043,54096,53409,107505,30705,อภ.วาปีปทุม,1
2044,18261,17713,35974,12383,อภ.วาริชภูมิ,1
2045,46707,46105,92812,30977,อภ.วารินชำราบ,1
2046,7605,8194,15799,7396,อภ.วิภาวดี,1
2047,16957,16300,33257,12238,อภ.วิหารแดง,1
2048,50612,49393,100005,33788,อภ.วิเชียรบุรี,1
2049,26320,24352,50672,18332,อภ.วิเศษชัยชาญ,1
2050,23201,23528,46729,11682,อภ.ศรีณรงค์,1
2051,11919,11817,23736,6711,อภ.ศรีธาตุ,1
2052,11545,10953,22498,8200,อภ.ศรีนคร,1
2053,5312,5133,10445,3663,อภ.ศรีนครินทร์,1
2054,9005,8998,18003,6942,อภ.ศรีบรรพต,1
2055,44862,45577,90439,25253,อภ.ศรีบุญเรือง,1
2056,21024,19192,40216,15170,อภ.ศรีประจันต์,1
2057,38220,36648,74868,53589,อภ.ศรีมหาโพธิ,1
2058,6746,6543,13289,6554,อภ.ศรีมโหสถ,1
2059,24399,24141,48540,11607,อภ.ศรีรัตนะ,1
2060,28346,28135,56481,47964,อภ.ศรีราชา,1
2061,14300,14471,28771,9577,อภ.ศรีวิไล,1
2062,32395,32085,64480,19500,อภ.ศรีสงคราม,1
2063,17348,18619,35967,11127,อภ.ศรีสมเด็จ,1
2064,12531,13311,25842,10200,อภ.ศรีสวัสดิ์,1
