latitude,longitude,geoid_height
4.1802,96.0141,-36.909
4.1802,96.0282,-36.818
4.1802,96.0424,-36.734
4.1802,96.0565,-36.654
4.1802,96.0706,-36.577
4.1802,96.0847,-36.505
4.1802,96.0988,-36.438
4.1802,96.113,-36.375
4.1802,96.1271,-36.315
4.1802,96.1412,-36.253
4.1802,96.1553,-36.193
4.1802,96.1694,-36.131
4.1802,96.1836,-36.072
4.1802,96.1977,-36.015
4.1802,96.2118,-35.959
4.1802,96.2259,-35.905
4.1802,96.2401,-35.851
4.1802,96.2542,-35.796
4.1802,96.2683,-35.736
4.1802,96.2824,-35.674
4.1802,96.2965,-35.608
4.1802,96.3107,-35.54
4.1802,96.3248,-35.471
4.1802,96.3389,-35.397
4.1802,96.353,-35.318
4.1802,96.3671,-35.236
4.1802,96.3813,-35.148
4.1802,96.3954,-35.051
4.1802,96.4095,-34.949
4.1802,96.4236,-34.841
4.1802,96.4377,-34.726
4.1802,96.4519,-34.606
4.1802,96.466,-34.482
4.1802,96.4801,-34.358
4.1802,96.4942,-34.231
4.1802,96.5083,-34.106
4.1802,96.5225,-33.984
4.1802,96.5366,-33.864
4.1802,96.5507,-33.749
4.1802,96.5648,-33.644
4.1802,96.5789,-33.546
4.1802,96.5931,-33.454
4.1802,96.6072,-33.371
4.1802,96.6213,-33.295
4.1802,96.6354,-33.223
4.1802,96.6496,-33.158
4.1802,96.6637,-33.095
4.1802,96.6778,-33.035
4.1802,96.6919,-32.979
4.1802,96.706,-32.923
4.1802,96.7202,-32.87
4.1802,96.7343,-32.819
4.1802,96.7484,-32.772
4.1802,96.7625,-32.726
4.1802,96.7766,-32.683
4.1802,96.7908,-32.642
4.1802,96.8049,-32.601
4.1802,96.819,-32.561
4.1802,96.8331,-32.521
4.1802,96.8472,-32.481
4.1802,96.8614,-32.439
4.1802,96.8755,-32.398
4.1802,96.8896,-32.359
4.1802,96.9037,-32.321
4.1802,96.9178,-32.283
4.1802,96.932,-32.247
4.1802,96.9461,-32.21
4.1802,96.9602,-32.172
4.1802,96.9743,-32.133
4.1802,96.9884,-32.09
4.1952,96,-37.102
4.1952,96.0141,-37.008
4.1952,96.0282,-36.92
4.1952,96.0424,-36.84
4.1952,96.0565,-36.764
4.1952,96.0706,-36.691
4.1952,96.0847,-36.623
4.1952,96.0988,-36.561
4.1952,96.113,-36.5
4.1952,96.1271,-36.442
4.1952,96.1412,-36.383
4.1952,96.1553,-36.325
4.1952,96.1694,-36.267
4.1952,96.1836,-36.208
4.1952,96.1977,-36.152
4.1952,96.2118,-36.097
4.1952,96.2259,-36.041
4.1952,96.2401,-35.985
4.1952,96.2542,-35.928
4.1952,96.2683,-35.868
4.1952,96.2824,-35.806
4.1952,96.2965,-35.738
4.1952,96.3107,-35.671
4.1952,96.3248,-35.6
4.1952,96.3389,-35.526
4.1952,96.353,-35.448
4.1952,96.3671,-35.366
4.1952,96.3813,-35.278
4.1952,96.3954,-35.185
4.1952,96.4095,-35.085
4.1952,96.4236,-34.979
4.1952,96.4377,-34.866
4.1952,96.4519,-34.747
4.1952,96.466,-34.626
4.1952,96.4801,-34.504
4.1952,96.4942,-34.379
4.1952,96.5083,-34.256
4.1952,96.5225,-34.134
4.1952,96.5366,-34.016
4.1952,96.5507,-33.902
4.1952,96.5648,-33.797
